id,hash,language,author_name,author_age,author_sex,receiver_sex,text_raw_numtokens,year,month,day,text_type
120,736a986fe0ce49d4de11741f11af407b603e535c47a0e3bead641832533fc67d,en,George Orwell,41,m,m,207,1944,2,17,letter
241,6931f7d3bf148afe0389791bbab24c8695dade3da7a7d28b6bf3ca53830ff77d,en,George Orwell,45,m,m,531,1948,5,24,letter
126,1647e0e7404eb60d58fafc9dbca1319334cafbe7cff1c317cbbf80a088fef1c5,en,George Orwell,41,m,m,958,1944,5,18,letter
170,badc623d583f266410e1e8f4c62cb3acb9237f5ea567647accbeb846a03025c7,en,George Orwell,43,m,m,482,1946,4,25,letter
58,d905a0dccb9faae925d97ce54573fa8d295b44e3a00537868f659826a6b22ced,en,George Orwell,36,m,f,1233,1938,9,27,letter
59,c8f6147b3ed6b932127f8aef2def98ea748b1b86e7463c4781d84727cfdbb283,en,George Orwell,36,m,m,1523,1938,9,29,letter
60,b844b0499082a9c4b461c2b736dcd83f3c74fb149e695f617db8cba477838092,en,George Orwell,36,m,f,1067,1938,10,3,letter
135,abc3821feeaec9d5473f50a751dd3f7bcc510a0f9327ceb6fd9046983253662d,en,George Orwell,42,m,m,326,1944,10,14,letter
92,17611be3c21835fb161a6855517d760d5c5e287a554c6672263cc0313cf92be5,en,George Orwell,38,m,m,932,1940,6,22,letter
93,11f5996c5f14f4c7c365dc2bbed463cd6b59f2d4c8c5bb2c125c0ab0b7facd1a,en,George Orwell,38,m,m,687,1940,7,6,letter
218,6778db9a233f43a6808311c61637d759b63bb0801c56298b588e4375df53d580,en,George Orwell,45,m,m,624,1948,1,4,letter
62,a518744aaceb9b9f9a8c51b5b61e7a00d9d677056ba7cbe2bd04f5b873a84bfd,en,George Orwell,36,m,m,1417,1938,10,12,letter
147,a78be8dbed8a534a408bee3604ec4b2040369692be634ca598226fed8326e524,en,George Orwell,43,m,m,463,1945,6,29,letter
63,85632c32a42afafe2fb7fff18d4fe10335444b6951d7492c3ade707424f69374,en,George Orwell,36,m,m,977,1938,10,26,letter
64,7d970ef9ba1cb6be4039735a94ed2b2811331e516be8608afd7845fbf5212bd3,en,George Orwell,36,m,m,893,1938,11,24,letter
65,260e70a60552dd255fa7f11041741a0a273bb6acb8e4ed7a0826b7de530dca19,en,George Orwell,36,m,m,1217,1938,11,26,letter
69,8139ea6bb752445215aeb2d756486f98fe20b758fe64c8ac8b17f19e5d37cd26,en,George Orwell,36,m,m,753,1938,12,14,letter
71,8b689014997b582c6bccd5c48db827f3a5d62440e14503aaa57b835c160bc025,en,George Orwell,36,m,m,2065,1938,12,26,letter
95,3d37e07a0383f96e0fac2990960d0fb4fe62ec087dec2a9cd4c0f04de3e80a4d,en,George Orwell,38,m,m,783,1940,12,,letter
98,7489cb8ff078cf43a2e45c9ab74904fd62d0f8354819eb5f96a3eecdd97b3e1e,en,George Orwell,38,m,m,336,1941,3,19,letter
219,c7012b5f8cc378ddca93ea270921e3148648eece1f9054ff1de7e6703625e457,en,George Orwell,45,m,f,614,1948,1,12,letter
270,57649e6440909ee1092f20b176708d1586213ccda7bf0e08a6a481a03df9ca02,en,George Orwell,46,m,m,514,1949,3,16,letter
3,647b8278d859c41e1c7219970bc540c3da4c77262a598208a82cf9fe20329108,en,George Orwell,28,m,m,480,1930,11,1,letter
5,66d552e2078e392f667b3114ee8797d0d9d7165a594fdff94b764cc045ecb0e8,en,George Orwell,29,m,m,734,1932,4,26,letter
6,1bd6d5f602513c863480ee9228843ec75ee325f455378c0ce3ca31ca6b4aa211,en,George Orwell,30,m,f,921,1932,6,14,letter
7,bfd68d4f6da06a1773bf80a9f6e520ca1866f3a3695bed8ca4f5e166565d1a21,en,George Orwell,30,m,f,691,1932,9,19,letter
8,1b44bf6a6a23830926f9b07d6501c4e9df19d6552f2631718630a5e19e0cad92,en,George Orwell,30,m,f,885,1932,10,,letter
10,32482c22e4e621269ac75882bd560adc0c609215fcee162fd19fe031968f0eaf,en,George Orwell,31,m,f,652,1933,6,19,letter
156,b16a6752429b752fb8a97e68cb4c847e5ef2ffde7a2e6fd50d09569ebe1e82e6,en,George Orwell,43,m,m,867,1946,1,3,letter
157,c9ecad9fe0f04265fd42191cf8360554e4b677db9288d0dfdd386a7385601f8b,en,George Orwell,43,m,m,673,1946,1,10,letter
158,56cc4cbbe6d6a89eb50ac4dbb386478752402af608bcec33fbdecaf4ef38a288,en,George Orwell,43,m,m,1133,1946,1,22,letter
11,ca1c9d813a7414b9d530a3b398abdc07543513af1f0d5acf9c93e8bf38fd1887,en,George Orwell,31,m,f,327,1933,7,7,letter
17,6758f700217aa1020db9d9d0f9f5fac5ac84814b6370d2cdba41efebf49a73c6,en,George Orwell,32,m,m,475,1934,11,14,letter
18,e501cc5dd2db1cd46f62ec94af76003ebaa1bba5d72c048e04efedb60ce02543,en,George Orwell,32,m,m,165,1934,11,20,letter
19,3c0250e67f07f427e0b8bc168a3a8f16d1e76844ef660b3c0d85c11a36865734,en,George Orwell,32,m,m,508,1934,11,29,letter
